NUTS_ID,Sector_ID,Exposure_Index,Energy_1,Energy_2,Energy_3,Energy_Index,Labor_1,Labor_2,Labor_3,Labor_4,Labor_Index,SupCh_1,SupCh_2,Sup_Ch_Index,Tech_1,Tech_2,Tech_3,Tech_4,Tech_5,Tech_6,Tech_7,Tech_8,Tech_9,Tech_10,Tech_Index,Finance_1,Finance_2,Finance_3,Finance_Index,Inst_1,Inst_2,Inst_3,Inst_Index,Country,Region_Name,Sector_Name,Vulnerability_Index
AT11,C,0.03668392319004129,0.1277082613148802,0.696651096425925,0.644094447955704,0.3370825569688429,0.1312014134275618,0.1935812672176309,0.6868275061739421,0.2202028985507246,0.2431043027408892,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.01000000000000001,0.2638387947606062,0.3687029596514062,0.2692408066429418,0.6544950697041823,0.1773557341124908,0.368831560982014,0.1971569023569023,0.3181584362139919,0.8876758939878936,0.2886059488915445,0.9868714399046207,0.987233586729645,0.9807867990157377,0.9818613526709397,0.2990562394400194,0.2981611658808402,0.2950605996172656,0.3075739867203113,AT,Burgenland,Total Manufacturing,0.30045019056258554
AT12,C,0.2024605159344198,0.1506255204533993,0.557544159487071,0.6993021067355275,0.3466175734788437,0.1000353356890459,0.1665840220385675,0.6368296675671314,0.2031594202898551,0.1992436933742656,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.01000000000000001,0.2638387947606062,0.3687029596514062,0.2692408066429418,0.6544950697041823,0.1773557341124908,0.368831560982014,0.1971569023569023,0.3181584362139919,0.8876758939878936,0.2886059488915445,0.967097057434424,0.9703515332210313,0.887846935758792,0.9098886753984621,0.3059267099497107,0.3412556745887851,0.272299934789511,0.3169622538947369,AT,Niederösterreich,Total Manufacturing,0.26670289477074216
AT13,C,0.1032881675625656,0.1369157537765212,0.6348624089906298,0.6686166525807715,0.3415260423496855,0.2835689045936396,0.4095592286501378,0.5581336650842473,0.2912173913043478,0.3519341725115225,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.01000000000000001,0.2638387947606062,0.3687029596514062,0.2692408066429418,0.6544950697041823,0.1773557341124908,0.368831560982014,0.1971569023569023,0.3181584362139919,0.8876758939878936,0.2886059488915445,0.9789266644658373,0.9804508654854489,0.9204548372096684,0.9392046856257933,0.3059267099497107,0.3412556745887851,0.272299934789511,0.3169622538947369,AT,Wien,Total Manufacturing,0.3283105848289611
AT21,C,0.076460718272373,0.1332070781593498,0.6586655345176824,0.6591698567493858,0.3398485957555887,0.1069611307420495,0.1827823691460055,0.6408305185778358,0.1605507246376811,0.1938195762869583,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.34,0.4531445303768609,0.4923745119121725,0.3648991696322658,0.4862189731383884,0.2770635500365229,0.427543214738961,0.3330150392817058,0.4419907407407409,0.8876758939878936,0.4311452766555861,0.9821267317020006,0.9831828702089084,0.9211158081850239,0.942258538383016,0.3061525464639151,0.3527689669952851,0.2819328088454178,0.3243377779061662,AT,Kärnten,Total Manufacturing,0.32593447082211224
AT22,C,0.2066665566563651,0.1512069712093611,0.554590038236839,0.7004745149673954,0.3467995018578711,0.1000353356890459,0.1692837465564739,0.6558451794418954,0.1435072463768116,0.1859539526745525,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.34,0.4531445303768609,0.4923745119121725,0.3648991696322658,0.4862189731383884,0.2770635500365229,0.427543214738961,0.3330150392817058,0.4419907407407409,0.8876758939878936,0.4311452766555861,0.9665953469302806,0.9699232061372628,0.8720203529599997,0.9000135373220247,0.3146681148925899,0.321894556365195,0.1927471826493729,0.2858435429059219,AT,Steiermark,Total Manufacturing,0.2974998403429976
AT31,C,0.3214962952424422,0.1670812441234108,0.4822316308190262,0.729191546299413,0.3508825686045063,0.0723321554770318,0.1368870523415978,0.5965560297045229,0.129304347826087,0.1391551827025465,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.34,0.6175658277079887,0.4720768490747552,0.5574337682878607,0.5257293437606256,0.3445069393718042,0.3455012909719486,0.1699236812570146,0.54065329218107006,0.8876758939878936,0.4568383918343941,0.9528980744012504,0.9582293851997106,0.8133775392020611,0.8535867553336876,0.2983466087376297,0.3445777968281184,0.2371316181160962,0.3033561548062137,AT,Oberösterreich,Total Manufacturing,0.2815031287835927
AT32,C,0.07369941175962767,0.1328253501007267,0.6611952220009867,0.6581658944275122,0.3396676875763939,0.05501766784452297,0.1341873278236915,0.5837521440784528,0.1122608695652174,0.1216881055021367,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.34,0.6175658277079887,0.4720768490747552,0.5574337682878607,0.5257293437606256,0.3445069393718042,0.3455012909719486,0.1699236812570146,0.54065329218107006,0.8876758939878936,0.4568383918343941,0.9824561095122001,0.9834640710921582,0.9580567415854535,0.964608846966007,0.323656770456191,0.2838791255893699,0.2440080799489688,0.2935165860693506,AT,Salzburg,Total Manufacturing,0.3067502439037422
AT33,C,0.1044849001621219,0.1370811922781185,0.6338322193565405,0.6690255060790145,0.3415975933447201,0.05848056537102474,0.1449862258953168,0.6281252327526768,0.09521739130434782,0.1362580480794006,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.34,0.6175658277079887,0.4720768490747552,0.5574337682878607,0.5257293437606256,0.3445069393718042,0.3455012909719486,0.1699236812570146,0.54065329218107006,0.8876758939878936,0.4568383918343941,0.9787839142274205,0.980328994819351,0.9267340614755465,0.9428386681558246,0.2955080859280714,0.2624560651521647,0.3098554114395067,0.2991333258455978,AT,Tirol,Total Manufacturing,0.30687087518172224
AT34,C,0.08956652145583101,0.1350188483423506,0.6468648293032825,0.6638532271202267,0.3406859185700561,0.06540636042402825,0.1503856749311295,0.524242288088564,0.1747536231884058,0.1320467908673368,0.1436007946903108,0.8031497948016416,0.4693859155915122,0.34,0.6175658277079887,0.4720768490747552,0.5574337682878607,0.5257293437606256,0.3445069393718042,0.3455012909719486,0.1699236812570146,0.54065329218107006,0.8876758939878936,0.4568383918343941,0.9805634279783655,0.981848225389916,0.9418996732989833,0.9533804865700631,0.2860463432295438,0.2301114444920703,0.2994365298745482,0.2811102819428721,AT,Vorarlberg,Total Manufacturing,0.3024816870942758
AT11,C10-C12,0.01781822746030014,0.04927388197804013,0.9138166946118649,0.962331964516955,0.2707252400731056,0.1312014134275618,0.1935812672176309,0.6868275061739421,0.2202028985507246,0.2431043027408892,0.03564852593205591,0.8031497948016416,0.4298623424232542,0.01000000000000001,0.2638387947606062,0.3687029596514062,0.2692408066429418,0.6544950697041823,0.1773557341124908,0.368831560982014,0.1971569023569023,0.3181584362139919,0.9880665838057875,0.3142181515906622,0.9880008565973408,0.9888107817375913,0.9807867990157377,0.9830744964951368,0.2990562394400194,0.2981611658808402,0.2950605996172656,0.3075739867203113,AT,Burgenland,"Food, Beverage and Tobacco",0.3330178244645217
