Country,NUTS_ID,Region_Name,Sector_ID,Sector_Name,Exposure_Index,Energy_Index,Labor_Index,Sup_Ch_Index,Tech_Index,Finance_Index,Inst_Index,Vulnerability_Index,Risk_Index,Manuf_Share
AT,AT11,Burgenland,C,Total Manufacturing,0.03668392319004129,0.1255906727135916,0.2419169412859563,0.4693859155915122,0.3388065359432869,0.9825088175476587,0.3075739867203113,0.24479223835180186,0.14660504047761147,0.02405843246510119
AT,AT12,Niederösterreich,C,Total Manufacturing,0.2024605159344198,0.3465824330529972,0.1958181953785519,0.4693859155915122,0.3388065359432869,0.9072350666479918,0.3169622538947369,0.29090141748246306,0.2992579008522243,0.1708751603060187
AT,AT13,Wien,C,Total Manufacturing,0.1032881675625656,0.2367445162322085,0.3546376526660093,0.4693859155915122,0.3388065359432869,0.935065052542885,0.3169622538947369,0.3233919840088466,0.25121708790141317,0.08304515101932516
AT,AT21,Kärnten,C,Total Manufacturing,0.076460718272373,0.1983775093985035,0.1972103200604524,0.4693859155915122,0.5005729768268441,0.9326101486504691,0.3243377779061662,0.31107987394872755,0.22301903743415183,0.05928595645572605
AT,AT22,Steiermark,C,Total Manufacturing,0.2066665566563651,0.3505530397858337,0.1869129631777111,0.4693859155915122,0.5005729768268441,0.8992777825003155,0.2858435429059219,0.3407110423379365,0.33817342492193103,0.1746001562523032
AT,AT31,Oberösterreich,C,Total Manufacturing,0.3214962952424422,0.4465146067951526,0.1415211322959884,0.4693859155915122,0.5103808753224833,0.8551371410114569,0.3033561548062137,0.3549868136910079,0.4311873409009476,0.2762968204130368
AT,AT32,Salzburg,C,Total Manufacturing,0.07369941175962766,0.1940669027158345,0.1211901247224983,0.4693859155915122,0.5103808753224833,0.9647128944594393,0.2935165860693506,0.2817914223245119,0.19992882608760146,0.05684046050207108
AT,AT33,Tirol,C,Total Manufacturing,0.1044849001621219,0.2383314056101303,0.1335745818544395,0.4693859155915122,0.5103808753224833,0.9452994478282307,0.2991333258455978,0.2999175298036556,0.235167129021989,0.08410501334040892
AT,AT34,Vorarlberg,C,Total Manufacturing,0.08956652145583102,0.2178437342398238,0.1293095282712877,0.4693859155915122,0.5103808753224833,0.9539914870290177,0.2811102819428721,0.28550042682065707,0.2140324150168499,0.07089284924600893
AT,AT11,Burgenland,C10-C12,"Food, Beverage and Tobacco",0.01319860843844349,0.1136332796523959,0.2419169412859563,0.4298623424232542,0.3723597182119172,0.9837735536794816,0.3075739867203113,0.2977919364311749,0.189422175388037,0.03780115993856452
AT,AT12,Niederösterreich,C10-C12,"Food, Beverage and Tobacco",0.02877266978002191,0.2593791051745711,0.1958181953785519,0.4298623424232542,0.3723597182119172,0.9182112146358861,0.3169622538947369,0.31460696858508486,0.20948011926470295,0.221855443229489
AT,AT13,Wien,C10-C12,"Food, Beverage and Tobacco",0.01801688822079258,0.1697087172178166,0.3546376526660093,0.4298623424232542,0.3723597182119172,0.940830446262711,0.3169622538947369,0.3501022566116339,0.22480082073252994,0.09474359856039245
AT,AT21,Kärnten,C10-C12,"Food, Beverage and Tobacco",0.01405693726440544,0.1250035374797157,0.1972103200604524,0.4298623424232542,0.5338265957969903,0.9374031347370972,0.3243377779061662,0.33590023406609754,0.2135534591710889,0.04794489145634184
AT,AT22,Steiermark,C10-C12,"Food, Beverage and Tobacco",0.02234635701072943,0.2096692330593485,0.1869129631777111,0.4298623424232542,0.5338265957969903,0.9133394676427101,0.2858435429059219,0.3404684220410557,0.22151592882457238,0.1459092680466726
AT,AT31,Oberösterreich,C10-C12,"Food, Beverage and Tobacco",0.0304893274319458,0.271327721686948,0.1415211322959884,0.4298623424232542,0.5436163317713519,0.8770265041295294,0.3033561548062137,0.3432750045084846,0.2282967767462848,0.2421429062650437
AT,AT32,Salzburg,C10-C12,"Food, Beverage and Tobacco",0.01583178670114031,0.1463544896046298,0.1211901247224983,0.4298623424232542,0.5436163317713519,0.9684974434475545,0.2935165860693506,0.31864681804650224,0.20396788000526575,0.06892006510327121
AT,AT33,Tirol,C10-C12,"Food, Beverage and Tobacco",0.01616347987456289,0.1500821422156736,0.1335745818544395,0.4298623424232542,0.5436163317713519,0.9519531441272371,0.2991333258455978,0.32065216303685734,0.20541516287945943,0.0728400155881072
AT,AT34,Vorarlberg,C10-C12,"Food, Beverage and Tobacco",0.01574061957160311,0.1453169596434725,0.1293095282712877,0.4298623424232542,0.5436163317713519,0.9593639179278808,0.2811102819428721,0.3130545894750059,0.20044826214328096,0.06784265181211746
AT,AT11,Burgenland,C13-C15,"Textiles, Leather and Wearing",0.01024000938574661,0.06753791935683522,0.2419169412859563,0.4196003196569333,0.3727914123667717,0.984919638234109,0.3075739867203113,0.2766035978199074,0.174468440405469,0.04738169958771768
AT,AT12,Niederösterreich,C13-C15,"Textiles, Leather and Wearing",0.01057602252579187,0.07727092166708945,0.1958181953785519,0.4196003196569333,0.3727914123667717,0.9255800623803472,0.3169622538947369,0.2432168117490332,0.15400073115576923,0.1137160790105224
AT,AT13,Wien,C13-C15,"Textiles, Leather and Wearing",0.01034193544956368,0.07057897896400692,0.3546376526660093,0.4196003196569333,0.3727914123667717,0.9439032857733612,0.3169622538947369,0.30914587413458827,0.19468436831643834,0.06750353824380038
AT,AT21,Kärnten,C13-C15,"Textiles, Leather and Wearing",0.01025995821780867,0.06813969827150125,0.1972103200604524,0.4196003196569333,0.5342582899518448,0.9388910690472432,0.3243377779061662,0.31067895378306654,0.19558300818846758,0.05131991877422928
